SIC Code,SIC Code Grouping,Merchant Type,SIC Code Group Type,Presentation
2754,0,,Other,Other
2755,0,,Other,Other
2756,0,,Other,Other
2757,0,,Other,Other
2758,0,,Other,Other
2759,0,,Other,Other
2760,0,,Other,Other
2761,0,,Other,Other
2762,0,,Other,Other
2763,0,,Other,Other
2764,0,,Other,Other
2765,0,,Other,Other
2766,0,,Other,Other
2767,0,,Other,Other
2768,0,,Other,Other
2769,0,,Other,Other
2770,0,,Other,Other
2771,0,,Other,Other
2772,0,,Other,Other
2773,0,,Other,Other
2774,0,,Other,Other
2775,0,,Other,Other
2776,0,,Other,Other
2777,0,,Other,Other
2778,0,,Other,Other
2779,0,,Other,Other
2780,0,,Other,Other
2781,0,,Other,Other
2782,0,,Other,Other
2783,0,,Other,Other
2784,0,,Other,Other
2785,0,,Other,Other
2786,0,,Other,Other
2787,0,,Other,Other
2788,0,,Other,Other
2789,0,,Other,Other
2790,0,,Other,Other
2792,0,,Other,Other
2793,0,,Other,Other
2794,0,,Other,Other
2795,0,,Other,Other
2796,0,,Other,Other
2797,0,,Other,Other
2798,0,,Other,Other
2799,0,,Other,Other
2800,0,,Other,Other
2801,0,,Other,Other
2802,0,,Other,Other
2803,0,,Other,Other
2804,0,,Other,Other
2805,0,,Other,Other
2806,0,,Other,Other
2807,0,,Other,Other
2808,0,,Other,Other
2809,0,,Other,Other
2810,0,,Other,Other
2811,0,,Other,Other
2812,0,,Other,Other
2813,0,,Other,Other
2814,0,,Other,Other
2815,0,,Other,Other
2816,0,,Other,Other
2817,0,,Other,Other
2818,0,,Other,Other
2819,0,,Other,Other
2820,0,,Other,Other
2821,0,,Other,Other
2822,0,,Other,Other
2823,0,,Other,Other
2824,0,,Other,Other
2825,0,,Other,Other
2826,0,,Other,Other
2827,0,,Other,Other
2828,0,,Other,Other
2829,0,,Other,Other
2830,0,,Other,Other
2831,0,,Other,Other
2832,0,,Other,Other
2833,0,,Other,Other
2834,0,,Other,Other
2835,0,,Other,Other
2836,0,,Other,Other
2837,0,,Other,Other
2838,0,,Other,Other
2839,0,,Other,Other
2840,0,,Other,Other
2841,0,,Other,Other
2843,0,,Other,Other
2844,0,,Other,Other
2845,0,,Other,Other
2846,0,,Other,Other
2847,0,,Other,Other
2848,0,,Other,Other
2849,0,,Other,Other
2850,0,,Other,Other
2851,0,,Other,Other
2852,0,,Other,Other
2853,0,,Other,Other
2854,0,,Other,Other
2855,0,,Other,Other
2856,0,,Other,Other
2857,0,,Other,Other
2858,0,,Other,Other
2859,0,,Other,Other
2860,0,,Other,Other
2861,0,,Other,Other
2862,0,,Other,Other
2863,0,,Other,Other
2864,0,,Other,Other
2865,0,,Other,Other
2866,0,,Other,Other
2867,0,,Other,Other
2868,0,,Other,Other
2869,0,,Other,Other
2870,0,,Other,Other
2871,0,,Other,Other
2872,0,,Other,Other
2873,0,,Other,Other
2874,0,,Other,Other
2875,0,,Other,Other
2876,0,,Other,Other
2877,0,,Other,Other
2878,0,,Other,Other
2879,0,,Other,Other
2880,0,,Other,Other
2881,0,,Other,Other
2882,0,,Other,Other
2883,0,,Other,Other
2884,0,,Other,Other
2885,0,,Other,Other
2886,0,,Other,Other
2887,0,,Other,Other
2888,0,,Other,Other
2889,0,,Other,Other
2890,0,,Other,Other
2891,0,,Other,Other
2892,0,,Other,Other
2893,0,,Other,Other
2894,0,,Other,Other
2895,0,,Other,Other
2896,0,,Other,Other
2897,0,,Other,Other
2898,0,,Other,Other
2899,0,,Other,Other
2900,0,,Other,Other
2901,0,,Other,Other
2902,0,,Other,Other
2903,0,,Other,Other
2904,0,,Other,Other
2905,0,,Other,Other
2906,0,,Other,Other
2907,0,,Other,Other
2908,0,,Other,Other
2909,0,,Other,Other
2910,0,,Other,Other
2911,0,,Other,Other
2912,0,,Other,Other
2913,0,,Other,Other
2914,0,,Other,Other
2915,0,,Other,Other
2916,0,,Other,Other
2917,0,,Other,Other
2918,0,,Other,Other
2919,0,,Other,Other
2920,0,,Other,Other
2921,0,,Other,Other
2922,0,,Other,Other
2923,0,,Other,Other
2924,0,,Other,Other
2925,0,,Other,Other
2926,0,,Other,Other
2927,0,,Other,Other
2928,0,,Other,Other
2929,0,,Other,Other
2930,0,,Other,Other
2931,0,,Other,Other
2932,0,,Other,Other
2933,0,,Other,Other
2934,0,,Other,Other
2935,0,,Other,Other
2936,0,,Other,Other
2937,0,,Other,Other
2938,0,,Other,Other
2939,0,,Other,Other
2940,0,,Other,Other
2941,0,,Other,Other
2942,0,,Other,Other
2943,0,,Other,Other
2944,0,,Other,Other
2945,0,,Other,Other
2946,0,,Other,Other
2947,0,,Other,Other
2948,0,,Other,Other
2949,0,,Other,Other
